%time,field.data
1742481005010005976,-55.0
1742481005507639442,-55.0
1742481006015471613,-55.0
1742481006517201031,-54.0
1742481007020332251,-54.0
1742481007508117202,-56.0
1742481008017075428,-53.0
1742481008520000668,-56.0
1742481009019096868,-53.0
1742481009514991612,-55.0
1742481010017624389,-54.0
1742481010522074072,-56.0
1742481011023127254,-55.0
1742481011498541648,-54.0
1742481012016225203,-53.0
1742481012526915047,-52.0
1742481013009818943,-51.0
1742481013506048612,-52.0
1742481014027739016,-53.0
1742481014517331983,-49.0
1742481015014541055,-50.0
1742481015515493715,-54.0
1742481016018647787,-56.0
1742481016517045898,-54.0
1742481017018538818,-55.0
1742481017514413669,-55.0
1742481018016190541,-53.0
1742481018523023856,-55.0
1742481019017291160,-54.0
1742481019510778090,-56.0
1742481020014414923,-53.0
1742481020513791847,-53.0
1742481021014632513,-55.0
1742481021515840351,-55.0
1742481022010245760,-53.0
1742481022519221929,-52.0
1742481023015795590,-54.0
1742481023517761126,-54.0
1742481024021110614,-55.0
1742481024521831200,-55.0
1742481025016418495,-53.0
1742481025515836062,-52.0
1742481026022057469,-52.0
1742481026512887326,-54.0
1742481027021462210,-53.0
1742481027516515655,-52.0
1742481028016114339,-52.0
1742481028518056503,-51.0
1742481029017251245,-50.0
1742481029515994756,-36.0
1742481030020452538,-37.0
1742481030516099697,-40.0
1742481031017369368,-45.0
1742481031518763438,-49.0
1742481032014434232,-53.0
1742481032515192393,-54.0
1742481033018386834,-55.0
1742481033516673783,-55.0
1742481034010723491,-52.0
1742481034511192371,-56.0
1742481035019815686,-54.0
1742481035517934974,-56.0
1742481036012691166,-57.0
1742481036525356896,-51.0
1742481037016230048,-55.0
1742481037515991877,-55.0
1742481038025432598,-56.0
1742481038517070919,-55.0
1742481039016810253,-54.0
1742481039515786517,-54.0
1742481040005525228,-54.0
1742481040518680054,-54.0
1742481041017365863,-58.0
1742481041530574481,-51.0
1742481042027007706,-55.0
1742481042517550463,-55.0
1742481043018289193,-56.0
1742481043524298081,-55.0
1742481044031602807,-55.0
1742481044524086839,-54.0
1742481045021443931,-55.0
1742481045514751449,-55.0
1742481046014712031,-55.0
1742481046521394717,-55.0
1742481047013562606,-56.0
1742481047514930603,-54.0
1742481048015227206,-53.0
1742481048515475436,-52.0
1742481049018529626,-47.0
1742481049528058151,-39.0
1742481050014265107,-44.0
1742481050518769351,-42.0
1742481051020563024,-41.0
1742481051515096775,-41.0
1742481052011181380,-45.0
1742481052527850066,-42.0
1742481053019090827,-45.0
1742481053516449382,-46.0
1742481054017856708,-46.0
1742481054515277493,-46.0
1742481055015070051,-47.0
1742481055528299104,-47.0
1742481056016670558,-45.0
1742481056514760127,-48.0
1742481057009063650,-49.0
1742481057516755949,-50.0
1742481058021057204,-49.0
1742481058517622385,-48.0
1742481059016182787,-48.0
1742481059516103613,-45.0
