%time,field.data
1742481239016846502,74.2857131958
1742481239515423805,75.7142868042
1742481240014229746,75.7142868042
1742481240516899246,75.7142868042
1742481241016521786,77.1428604126
1742481241515179709,81.4285736084
1742481242022522068,75.7142868042
1742481242519012230,75.7142868042
1742481243016252691,75.7142868042
1742481243510302180,75.7142868042
1742481244018221827,80.0
1742481244516316361,82.8571395874
1742481245012900980,75.7142868042
1742481245513697240,80.0
1742481246011485171,80.0
1742481246514418830,78.5714263916
1742481247015554188,78.5714263916
1742481247501775217,74.2857131958
1742481248013633994,75.7142868042
1742481248517047581,82.8571395874
1742481249017500417,80.0
1742481249507582687,77.1428604126
1742481250013758123,82.8571395874
1742481250519221724,81.4285736084
1742481251019417909,82.8571395874
1742481251524322175,82.8571395874
1742481252017211031,77.1428604126
1742481252519262982,82.8571395874
1742481253019071159,81.4285736084
1742481253515013160,81.4285736084
1742481254016379505,82.8571395874
1742481254519165369,87.1428604126
1742481255016829291,85.7142868042
1742481255515996692,90.0
1742481256022729408,88.5714263916
1742481256522951470,90.0
1742481257014692447,94.2857131958
1742481257521348146,82.8571395874
1742481258013760099,84.2857131958
1742481258520567127,81.4285736084
1742481259012134409,82.8571395874
1742481259507992524,82.8571395874
1742481260016579823,80.0
1742481260517360496,78.5714263916
1742481261032064867,80.0
1742481261516023969,80.0
1742481262023764827,78.5714263916
1742481262516033857,80.0
1742481263016534505,78.5714263916
1742481263519887940,80.0
1742481264019179171,78.5714263916
1742481264518922800,78.5714263916
1742481265019016912,77.1428604126
1742481265516134357,80.0
1742481266015739142,78.5714263916
1742481266510945910,78.5714263916
1742481267012410194,80.0
1742481267515781042,77.1428604126
1742481268012668296,77.1428604126
1742481268516982299,78.5714263916
1742481269016501272,80.0
1742481269514114532,77.1428604126
1742481270014595121,80.0
1742481270519724064,72.8571395874
1742481271017183557,77.1428604126
1742481271521467394,80.0
1742481272015753537,77.1428604126
1742481272523602668,78.5714263916
1742481273021077956,80.0
1742481273517226261,80.0
1742481274002824120,80.0
1742481274515912297,82.8571395874
1742481275021965277,80.0
1742481275519531038,78.5714263916
1742481276004821504,81.4285736084
1742481276519945665,82.8571395874
1742481277015190257,82.8571395874
1742481277514881301,91.4285736084
1742481278021214581,94.2857131958
1742481278517244177,94.2857131958
1742481279020883237,95.7142868042
1742481279514749106,95.7142868042
1742481280009719504,95.7142868042
1742481280515833738,88.5714263916
1742481281014810825,91.4285736084
1742481281515473843,90.0
1742481282009336056,92.8571395874
1742481282514398600,90.0
1742481283018911733,92.8571395874
1742481283518675507,91.4285736084
1742481284012999379,91.4285736084
1742481284523391261,92.8571395874
1742481285029626249,92.8571395874
1742481285516411517,91.4285736084
1742481286014340936,97.1428604126
1742481286513454781,92.8571395874
1742481287011570063,88.5714263916
1742481287511691104,92.8571395874
1742481288017841670,92.8571395874
1742481288510732963,91.4285736084
